producto_id,producto,sku,talla,color,precio_menudeo,precio_mayoreo,codigo_barras,stock_inicial,activo
1,Playera Básica Cuello Redondo,PLY-BAS-NEG-S,S,Negro,249.00,185.00,7500000000017,50,true
1,Playera Básica Cuello Redondo,PLY-BAS-NEG-M,M,Negro,249.00,185.00,7500000000024,50,true
1,Playera Básica Cuello Redondo,PLY-BAS-NEG-L,L,Negro,249.00,185.00,7500000000031,50,true
1,Playera Básica Cuello Redondo,PLY-BAS-NEG-XL,XL,Negro,249.00,185.00,7500000000048,50,true
1,Playera Básica Cuello Redondo,PLY-BAS-NEG-XXL,XXL,Negro,249.00,185.00,7500000000055,50,true
1,Playera Básica Cuello Redondo,PLY-BAS-BLN-S,S,Blanco,249.00,185.00,7500000000062,50,true
1,Playera Básica Cuello Redondo,PLY-BAS-BLN-M,M,Blanco,249.00,185.00,7500000000079,50,true
1,Playera Básica Cuello Redondo,PLY-BAS-BLN-L,L,Blanco,249.00,185.00,7500000000086,50,true
1,Playera Básica Cuello Redondo,PLY-BAS-BLN-XL,XL,Blanco,249.00,185.00,7500000000093,50,true
1,Playera Básica Cuello Redondo,PLY-BAS-BLN-XXL,XXL,Blanco,249.00,185.00,7500000000109,50,true
1,Playera Básica Cuello Redondo,PLY-BAS-GRS-S,S,Gris,249.00,185.00,7500000000116,50,true
1,Playera Básica Cuello Redondo,PLY-BAS-GRS-M,M,Gris,249.00,185.00,7500000000123,50,true
1,Playera Básica Cuello Redondo,PLY-BAS-GRS-L,L,Gris,249.00,185.00,7500000000130,50,true
1,Playera Básica Cuello Redondo,PLY-BAS-GRS-XL,XL,Gris,249.00,185.00,7500000000147,50,true
1,Playera Básica Cuello Redondo,PLY-BAS-GRS-XXL,XXL,Gris,249.00,185.00,7500000000154,50,true
1,Playera Básica Cuello Redondo,PLY-BAS-AZN-S,S,Azul Navy,249.00,185.00,7500000000161,50,true
1,Playera Básica Cuello Redondo,PLY-BAS-AZN-M,M,Azul Navy,249.00,185.00,7500000000178,50,true
1,Playera Básica Cuello Redondo,PLY-BAS-AZN-L,L,Azul Navy,249.00,185.00,7500000000185,50,true
1,Playera Básica Cuello Redondo,PLY-BAS-AZN-XL,XL,Azul Navy,249.00,185.00,7500000000192,50,true
1,Playera Básica Cuello Redondo,PLY-BAS-AZN-XXL,XXL,Azul Navy,249.00,185.00,7500000000208,50,true
